"discipline"	"Institutions"	"total_cites"	"avg_cites_per_paper"	"total_top_papers"
"agricultural_sciences"	"INSTITUTE OF GEOGRAPHIC SCIENCES & NATURAL RESOURCES RESEARCH, CAS"	"31999"	"22.95"	"25"
"agricultural_sciences"	"INSTITUTE OF AGRICULTURAL RESOURCES & REGIONAL PLANNING, CAAS"	"31844"	"27.33"	"30"
"agricultural_sciences"	"HEFEI UNIVERSITY OF TECHNOLOGY"	"30417"	"23.42"	"36"
"agricultural_sciences"	"SUN YAT SEN UNIVERSITY"	"30260"	"21.68"	"32"
"agricultural_sciences"	"LANZHOU UNIVERSITY"	"30071"	"18.14"	"19"
"agricultural_sciences"	"PEKING UNIVERSITY"	"29382"	"20.21"	"33"
"agricultural_sciences"	"HAINAN UNIVERSITY"	"29350"	"15.29"	"44"
"agricultural_sciences"	"HUNAN AGRICULTURAL UNIVERSITY"	"29158"	"15.2"	"29"
"agricultural_sciences"	"BEIJING FORESTRY UNIVERSITY"	"28024"	"15.39"	"14"
"agricultural_sciences"	"JILIN UNIVERSITY"	"27942"	"15.01"	"20"
"agricultural_sciences"	"JINAN UNIVERSITY"	"27586"	"21.7"	"14"
"agricultural_sciences"	"QINGDAO AGRICULTURAL UNIVERSITY"	"27468"	"16.41"	"25"
"agricultural_sciences"	"SICHUAN UNIVERSITY"	"27444"	"17.47"	"31"
"agricultural_sciences"	"BEIJING NORMAL UNIVERSITY"	"27285"	"25.36"	"28"
"agricultural_sciences"	"JIANGSU ACADEMY OF AGRICULTURAL SCIENCES"	"27206"	"16.38"	"16"
"agricultural_sciences"	"ZHEJIANG GONGSHANG UNIVERSITY"	"26491"	"20.96"	"31"
"agricultural_sciences"	"INSTITUTE OF CROP SCIENCES, CAAS"	"24149"	"19.83"	"17"
"agricultural_sciences"	"GUANGDONG ACADEMY OF AGRICULTURAL SCIENCES"	"24081"	"16.33"	"10"
"agricultural_sciences"	"NINGBO UNIVERSITY"	"23842"	"17.01"	"30"
"agricultural_sciences"	"MINISTRY OF WATER RESOURCES"	"23526"	"25.43"	"23"
"agricultural_sciences"	"HENAN UNIVERSITY OF TECHNOLOGY"	"23027"	"14.85"	"13"
"agricultural_sciences"	"ZHEJIANG A&F UNIVERSITY"	"22793"	"15.35"	"25"
"agricultural_sciences"	"BEIJING ACADEMY OF AGRICULTURE & FORESTRY SCIENCES (BAAFS)"	"21872"	"15.51"	"20"
"agricultural_sciences"	"SHAANXI NORMAL UNIVERSITY"	"21851"	"20.35"	"8"
"agricultural_sciences"	"GUANGXI UNIVERSITY"	"21658"	"13.94"	"17"
"agricultural_sciences"	"SHANGHAI OCEAN UNIVERSITY"	"21336"	"17.66"	"24"
"agricultural_sciences"	"JIANGXI AGRICULTURAL UNIVERSITY"	"21140"	"16.26"	"20"
"agricultural_sciences"	"SHIHEZI UNIVERSITY"	"20933"	"13.11"	"20"
"agricultural_sciences"	"GUIZHOU UNIVERSITY"	"20737"	"11.43"	"24"
"agricultural_sciences"	"NANJING UNIVERSITY OF FINANCE & ECONOMICS"	"19346"	"22.68"	"24"
"agricultural_sciences"	"SHENYANG INSTITUTE OF APPLIED ECOLOGY, CAS"	"19329"	"25.33"	"17"
"agricultural_sciences"	"HEBEI AGRICULTURAL UNIVERSITY"	"18886"	"12.18"	"19"
"agricultural_sciences"	"JILIN AGRICULTURAL UNIVERSITY"	"18846"	"12.5"	"15"
"agricultural_sciences"	"WUHAN UNIVERSITY"	"18812"	"20.38"	"25"
"agricultural_sciences"	"NORTHEAST FORESTRY UNIVERSITY - CHINA"	"18762"	"17.6"	"20"
"agricultural_sciences"	"ZHEJIANG UNIVERSITY OF TECHNOLOGY"	"18495"	"19.31"	"32"
"agricultural_sciences"	"GANSU AGRICULTURAL UNIVERSITY"	"18306"	"12.5"	"11"
"agricultural_sciences"	"QILU UNIVERSITY OF TECHNOLOGY"	"18096"	"18.95"	"17"
