"discipline"	"region"	"total_cites"	"total_top_papers"	"avg_cites_per_paper"	"cite_rank"	"top_paper_rank"	"avg_cite_rank"
"biology_biochemistry"	"ISRAEL"	"286557"	"163"	"28.671111"	"28"	"27"	"38"
"biology_biochemistry"	"FINLAND"	"270608"	"142"	"32.875455"	"29"	"30"	"30"
"biology_biochemistry"	"CZECH REPUBLIC"	"266205"	"124"	"54.254167"	"30"	"31"	"9"
"biology_biochemistry"	"SAUDI ARABIA"	"264640"	"203"	"19.080909"	"31"	"22"	"58"
"biology_biochemistry"	"PORTUGAL"	"237158"	"119"	"25.51"	"32"	"33"	"41"
"biology_biochemistry"	"NORWAY"	"193964"	"86"	"34.375714"	"33"	"36"	"28"
"biology_biochemistry"	"HONG KONG"	"169273"	"122"	"27.933333"	"34"	"32"	"39"
"biology_biochemistry"	"HUNGARY"	"155601"	"94"	"23.604444"	"35"	"34"	"46"
"biology_biochemistry"	"IRELAND"	"131820"	"93"	"35.16"	"36"	"35"	"27"
"biology_biochemistry"	"MALAYSIA"	"121171"	"86"	"25.42875"	"37"	"36"	"42"
"biology_biochemistry"	"ARGENTINA"	"115348"	"43"	"16.94"	"38"	"44"	"62"
"biology_biochemistry"	"SOUTH AFRICA"	"112726"	"65"	"24.928571"	"39"	"39"	"43"
"biology_biochemistry"	"NEW ZEALAND"	"112215"	"58"	"31.208"	"40"	"41"	"34"
"biology_biochemistry"	"PAKISTAN"	"98525"	"46"	"21.731429"	"41"	"43"	"52"
"biology_biochemistry"	"MEXICO"	"97004"	"52"	"18.6"	"42"	"42"	"59"
"biology_biochemistry"	"WALES"	"96710"	"59"	"51.836"	"43"	"40"	"10"
"biology_biochemistry"	"GREECE"	"94031"	"68"	"63.893333"	"44"	"38"	"7"
"biology_biochemistry"	"TURKIYE"	"76231"	"19"	"16.39"	"45"	"55"	"64"
"biology_biochemistry"	"CHILE"	"69345"	"28"	"114.5575"	"46"	"49"	"2"
"biology_biochemistry"	"SLOVENIA"	"61738"	"23"	"26.9375"	"47"	"52"	"40"
"biology_biochemistry"	"THAILAND"	"57371"	"31"	"15.18"	"48"	"47"	"66"
"biology_biochemistry"	"ESTONIA"	"52063"	"24"	"85.62"	"49"	"51"	"5"
"biology_biochemistry"	"SLOVAKIA"	"39010"	"21"	"15.97"	"50"	"53"	"65"
"biology_biochemistry"	"QATAR"	"35891"	"29"	"31.856667"	"51"	"48"	"32"
